학교,코드 번호,제목,Name,Strategic field,Keywords
Fraunhofer,FH-108,Optimized production of expanded metal based PTLs for PEM-electrolyzers,Aretz,"Advanced Mobility, Advanced Robotics & Manufacturing","Machinery / materials, Energy & Resources, Precision manufacturing, machinery, Cutting Machine Tools, Other Precision, Manufacturing Machinery–, related Technologie, New &, Renewable, Energy, Hydrogen"
Fraunhofer,FH-109,Hydrogen recoverypurification system,Dr. Mateusz Balcerzak,Hydrogen,"Energy & Resources, MechanicalㆍMaterials, New &, Renewable, Energy, Hydrogen, Metal Materials, Energy Materials, Technologies"
Fraunhofer,FH-110,Metal hydrides for hydrogen-related applications,Dr. Mateusz Balcerzak,Hydrogen,"MechanicalㆍMaterials, Energy & Resources, Metal Materials, Energy Materials, Technologies, New &, Renewable, Energy, Hydrogen"
Fraunhofer,FH-111,"PASTE2POWER – Infrastructure‑Independent, Low‑Noise Backup Power Using POWERPASTE‑to‑Hydrogen and PEM Fuel Cells (≤10 kW; modular roadmap to 50 kW)",Dr. Mateusz Balcerzak,Hydrogen,"Energy & Resources, Energy & Resources, New &, Renewable Energy, Hydrogen, New &, Renewable Energy, Fuel cell"
Fraunhofer,FH-112,Solid-state hydrogen storage for heavy-duty applications,Dr. Mateusz Balcerzak,Hydrogen,"MechanicalㆍMaterials, Energy & Resources, Automobile /, Rail Vehicles, Low-Emission and, Alternative-Energy, Vehicle Technologies, New &, Renewable, Energy, Hydrogen"
Fraunhofer,FH-113,Hydrogen Storage andor Compression System,Dr. Mateusz Balcerzak,Hydrogen,"Energy & Resources, MechanicalㆍMaterials, New &, Renewable, Energy, Hydrogen, Metal Materials, Energy Materials, Technologies"
Fraunhofer,FH-114,Powder-Based Coating Strategies for Porous and Compact Materials,Nadine Eißmann,"Secondary Battery, Advanced Mobility, Hydrogen, Advanced Robotics & Manufacturing","Mechanical Materials, Mechanical Materials, Metal Materials, Functional Materials, Surface Treatment, Coating/Method, Technologies"
Fraunhofer,FH-115,Ammonia‑Ready Burner System with low NOx,Dr. Martin Meiler,Hydrogen,"Mechanical and Materials, Energy & Resources, Energy/ Environment, Mechanical Systems, Boilers and Furnace, Equipment, New & Renewable, Energy, Hydrogen"
Fraunhofer,FH-116,Validation and Scale-Up of Robust Electrocatalysts for AEM Electrolysis under Variable Water Qualities,Dr. Felix HEUBNER,Hydrogen,"Energy & Resources, Chemicals, New & Renewable Energy, Hydrogen, Chemical Processes, Catalyst Application, Technologies"
Fraunhofer,FH-117,Development of Ni Foam–Based Porous Transport Layer (PTL) with Advanced Surface Coatings for AELAEM Electrolysis,Dr. Felix HEUBNER,Hydrogen,"Energy & Resources, MechanicalㆍMaterials, New & Renewable Energy, Hydrogen, Surface Treatment, Coating/Method, Technologies"
Fraunhofer,FH-118,Durable non-precious metal electrodes for large-area AELAEMEL operation under high-pressure and high-temperature conditions,Dr. Felix HEUBNER,Hydrogen,"Energy & Resources, MechanicalㆍMaterials, New & Renewable Energy, Hydrogen, Metal Materials, Materials Processing, Technologies"
Fraunhofer,FH-119,Spatially Resolved Stack Diagnostics and Multi‑Physics “Digital Twin” for Scale‑Up of AEM Water Electrolysis,Dr. Felix HEUBNER,Hydrogen,"Energy & Resources, Knowledge Services, New & Renewable Energy, Hydrogen, R&D / Engineering Services Testing / Inspection / Analysis, Techniques"
Fraunhofer,FH-120,Advanced Testing and Validation Platforms for High-Performance AEM Electrolysis Systems Targeting European Market Entry,Dr. Felix HEUBNER,Hydrogen,"Energy & Resources, Knowledge Services, New & Renewable Energy, Hydrogen, R&D / Engineering Services Testing / Inspection / Analysis, Techniques"
Fraunhofer,FH-121,A technology that allows the spatial-resolved defect measurements of SOEC stacks and cross-scale degradation analysis,Klemens Ilse,"Secondary Battery, Hydrogen","Energy & Resources, Electrics and Electronics, New/renewable energy, Hydrogen, Measuring instruments, Physical Quantity, Test/Analysis Instrument"
Fraunhofer,FH-122,A technology enabling high-pressure PEM Electrolysis development by degradation diagnosticsn,Klemens Ilse,"Hydrogen, Advanced Robotics & Manufacturing","Energy & Resources, Knowledge Services, New/renewable energy, Hydrogen - manufacturing, RnD / Engineering, Services, Testing / Inspection /, Analysis Techniques"
Fraunhofer,FH-123,Hydrogen from Ash Rich Biomass by EXO-Process,Robert Daschner,Hydrogen,"Energy & Resources, Bio Medical, New &, Renewable, Energy, Hydrogen, Industrial, Biotechnolgy, Biomass"
Fraunhofer,FH-124,"Fluorine-free gas diffusion electrodes for the application in alkaline electrolysis, fuel cells and metal-air batteries",Dr. Cornelius Dirksen,"Secondary Battery, Hydrogen","Energy & Resources, Chemicals, New & Renewable Energy, Hydrogen, Polymeric Materials, Materials for, Energy/Environmental, Industries"
Fraunhofer,FH-125,Flexible Power-to-Methanol System Operation (SynFlex),Dr.-Ing. Jakob Köchermann,Hydrogen,"Energy & Resources, Energy & Resources, Greenhouse Gas, Processing, CO2 Conversion, Technologies, New & Renewable, Energy, Synthetic Fuels"
Fraunhofer,FH-126,Large-Area Membrane-Electrode-Assembly (MEA) Materials and Manufacturing Technologies for Dynamic AEM Electrolysis,Dr. Clemens KUBEIL,"Semiconductor/Display, Hydrogen","Energy & Resources, Chemicals, New & Renewable Energy, Hydrogen, Chemical Processes, Catalyst Application, Technologies"
Fraunhofer,FH-127,Scalable Catalyst Layer Morphologies and Coating Technologies for PEM and AEM Electrolysis,Dr. Julia Jökel,Hydrogen,"Chemicals, Mechanical Materials, Chemical Processes, Catalyst Application, Technologies, Surface Treatment, Coating / Method, Technologies"
Fraunhofer,FH-128,Electro-Catalytic Hydrogenation of Liquid Organic Hydrogen Carriers Using Low-Palladium and Palladium-Free Catalyst Systems,Dr. Daniel Siegmund,Hydrogen,"Energy and Resources, Chemicals, New & Renewable, Energy, Hydrogen, Chemical Processes, Basic Organic Material, Process Technologies"
Fraunhofer,FH-129,Sustainable CCMs - Multielement catalysts on PFAS-free membranes as plattform technology for the hydrogen-based industry (SustainCCM),Dr. Benjamin Heyne,Hydrogen,"Energy & Resources, Chemicals, New &, Renewable, Energy, Hydrogen, Polymeric, Materials, Materials for, Energy/Environmental, Industries"
Fraunhofer,FH-130,Iron as stationary and mobile storage of hydrogen for the future circular renewable energy economy,Gunnar Walther,Hydrogen,"Energy & Resources, MechanicalㆍMaterials, New &, Renewable, Energy, Hydrogen, Metal Materials, Energy Materials, Technologies"
Fraunhofer,FH-131,Boosting electrolysis and fuel cell performance by increasing the surface area through laser structuring,Matthias Trenn,Hydrogen,"Energy & Resources, Energy & Resources, New &, Renewable, Energy, Hydrogen, New &, Renewable, Energy, Fuel Cells"
Fraunhofer,FH-132,State of Health Monitoring of Electrolyzer Stacks using Magnetic Field Analysis (MFA),Klemens Ilse,Hydrogen,"Energy & Resources, ElectricalㆍElectronics, New & Renewable Energy, Hydrogen, Measuring Instruments, Safety Monitoring/Diagnosis, Control Instruments"
Fraunhofer,FH-133,AeroHF – a new substrate for high-frequency application with zero loss,Jens Schneider,"Semiconductor/Display, Next-gen Communication","Electrical and Electronics, Chemicals, Electrical and Electronic, Components, Composite materials, Ceramic Materials, Ceramic Manufacturing, Process Technologies"
Fraunhofer,FH-134,Development of Dual Cavity Package and Module for High-Reliability Sensors,Dr.-Ing. Steffen Ziesche,Next-gen Communication,"Information & Communication, Electrical – Electronics, ICT Modules and, Components, Mobile Communication, Modules and Components, Electrical and electronic, components, Sensor components"
Fraunhofer,FH-135,Application of Nanocrystals and Nano-hybrids having Innovating Upconversion properties for Security-critical Documents and Components (UpSecurity),Dr. Rajesh Komban &,"Semiconductor/Display, Next-gen Communication","Information & Communication, Chemicals, Information Security, Service and Application, Security, Fine Chemicals, Nano-Application, Technologies, (TIPA: Korea Technology and Information Promotion Agency for SMEs), 2"
Fraunhofer,FH-136,IMP110 – Impedance controlled PCB’s up to 110GHz,Jens Schneider,"Semiconductor/Display, Next-gen Communication","Electrical and Electronics, Knowledge Services, Electrical and Electronic, Components, PCB components, R&D / Engineering, Services, Production Process, Modeling / Simulation"
Fraunhofer,FH-137,System to separate and recover fuel for nuclear fusion,Dr. Mateusz Balcerzak,Next-gen Nuclear Power,"Energy & Resources, Energy & Resources, Nuclear Power, Nuclear Fuel and, Component Material, New &, Renewable Energy, Hydrogen"
Fraunhofer,FH-138,Development of Advanced Neutron Shielding Composite Material Utilizing Coated Microwires,Thomas Hutsch,Next-gen Nuclear Power,"Energy & Resources, MechanicalㆍMaterials, Nuclear Power, Radiation Management, Technologies, Metal Materials, Composite Materials"
Fraunhofer,FH-139,Development of a High-Performance Safety Helmet Based on Radiation-Shielding Metal-Yarn Fabric Insert Over-Molding for Nuclear Power Plant Workers,GyuEun Cho,Next-gen Nuclear Power,"Machinery and Materials, Energy & Resources, Polymeric Materials, Composite Material, Manufacturing, Technologies, Nuclear Power, Radiation Management, Technologies"
Fraunhofer,FH-140,Modular customizable active elbow exoskeleton,Jonas Schiebl,Others,"BioㆍMedical, Functional, Restoration /, Assistive & Welfare, Devices, •, Physical Function, Restoration Devices, •, Rehabilitation Training, Devices, •, Mobility Support Devices, •, Daily Living Support, Devices and Systems, •, Other Functional, Restoration / Assistive, &Welfare Devices, (TIPA: Korea Technology and Information Promotion Agency for SMEs), (max 10 pages), 2"
Fraunhofer,FH-141,"New, separator-free encapsulated powder application technology considering health-critical respirable dusts",Cudazzo,"Secondary Battery, Advanced Mobility, Advanced Robotics & Manufacturing","Mechanical  .  Materials, Surface Treatment, Coating/ Method, Technologies"
Fraunhofer,FH-142,Biocide-free sterilization of process fluids through a combination of shear force and UV-based methods,Cudazzo,"Advanced Bio, Advanced Robotics & Manufacturing, Others","Mechanical  .  Materials, Energy/ Environment, Mechanical Systems, Water Treatment Equipment,, Waste Treatment Equipment, Surface Treatment, Other, Surface, Treatment, Technologies (Pretrearment)"
Fraunhofer,FH-143,Seed Layer deposition and via filling on glass substrate for 3D2.5D semiconductor packaging (aspect ratio 151) using interposers based on glass,Kevin Kröhnert,"Semiconductor/Display, AI, Next-gen Communication, Advanced Robotics & Manufacturing","Electronical Electronics, Mechanical Materials, Semiconductor Devices and, Systems, Semiconductor Devices, Surface Treatment, Thin-Film Fabrication, Technologies"
Fraunhofer,FH-144,Tailor-made radical generators for FR synergy and reactive melt modification,Michael Grosshauser,Others,"Chemicals, Chemicals, Fine Chemicals, Additives, Polymeric Materials, Polymer Processing, Technologies"
Fraunhofer,FH-145,"Optical front-end components (photonic-integrated circuit, photodiode) and their ASICs for Quantum-Key-Distribution (QKD) Communication",Jung Han Choi,"Semiconductor/Display, Quantum","Information & Communication, Electrical · Electronics, Information Security, Common Security, Technologies, Optical Application, Devices, Optical Components"
Fraunhofer,FH-146,Precise Laser Slitting System for Secondary Battery Anode,Dennis Haasler,Secondary Battery,"Electrical and Electronics, Electrical and Electronics, Optical Application Devices Laser Processing Machines, Batteries, Manufacturing and, Measurement/Evaluation, Equipment"
Fraunhofer,FH-147,Development of a process technology for NFM-based layered cathode materials for sodium-ion batteries using Taylor flow,Songhak Yoon,Secondary Battery,"Chemicals, ElectricalㆍElectronics, Chemical, Processes, Process Equipment, Technologies/ Process, System Technologies, Batteries, Battery Materials/ Secondary, Batteries"
Fraunhofer,FH-148,Focused ultrasound technology for the direct degradation of polyfluoroalkyl substances (PFAS),Songhak Yoon,Secondary Battery,"Chemicals, Chemical, Processes, Process Equipment, Technologies/ Process, System Technologies"
Fraunhofer,FH-149,Development of high-purity lithium extraction technology through selective recovery of lithium contained in waste saggers,Songhak Yoon,Secondary Battery,"Machinery and materials, Energy & Resources, Metal materials, Metal Refining/Recovery, Resource Circulation, Inorganic Resource, Recovery"
Fraunhofer,FH-150,Validation and optimization of measurement tools and material characterization techniques for German and European core industry application,Klemens Ilse,"Secondary Battery, Hydrogen, Advanced Robotics & Manufacturing","Machinery and materials, Electrics & Electronics, Industrial/general machinery, General machine tool, (100605), Machines using optical, technology, Optical measurement*control, instruments (200104)"
Fraunhofer,FH-151,"Improved battery efficiency, reliability, and safety through non-invasive, spatially resolved mapping of currents, losses, and material states",Klemens Ilse,Secondary Battery,"Energy & Resources, Electrics & Electronics, Secondary batteries and, energy storage, Testing/Inspection/Analysis, Techniques, Measuring Instruments, Measurement Sensors and, Components"
Fraunhofer,FH-152,High rate laser based battery structuring for power density enlargement in industrial battery production,Matthias Trenn,Secondary Battery,"Energy & Resources, Energy & Resources, Batteries, Secondary Batteries, Batteries, Manufacturing and, Measurement/Evaluation, Equipment"
Fraunhofer,FH-153,3D Hierarchical Carbon Host Anode Technology for Na–K Alloys for High-Performance All-Solid-State Batteries,Isabell Tunn,Secondary Battery,"Electrical and Electronics, Chemicals, Batteries, Secondary Battery, Polymeric Materials, Materials for, Energy/Environmental, Industries"
Fraunhofer,FH-154,RETRO-CHIP Deployable Methods for Chip-Level Replacement and Repackaging to Retrofit and Upgrade Legacy Electronic Systems,Thomas Mager (IEM),Semiconductor/Display,"ElectricalㆍElectronics, ElectricalㆍElectronics, Semiconductor, Devices and Systems, Semiconductor Devices, Semiconductor, Equipment, Packaging Equipment"
Fraunhofer,FH-155,Development of a direct feedback system for laser micro machining and laser via drilling based on plasma spectroscopy,Dr. Carl Basler,Semiconductor/Display,"ElectricalㆍElectronics, ElectricalㆍElectronics, Optical Application, Devices, Laser Processing Machines, Semiconductor, Equipment, Measurement/Inspection, Equipment"
Fraunhofer,FH-156,Large Area Processing of Ultra-Thin Flexible Glass,Neidhardt,"Semiconductor/Display, Aerospace/Marine","Mechanical Materials, Electrical, Electronics, Surface Treatment, Coating / Method, Technologies, Display, Display Manufacturing, Equipment"
Fraunhofer,FH-157,"Process, component and equipment development for semiconductor panel-level packing",Neidhardt,"Semiconductor/Display, Advanced Mobility","Electrical & Electronics, Mechanical Materials, Semiconductor Equipment, Deposition Equipment, Surface Treatment, Coating / Method, Technologies"
Fraunhofer,FH-158,Development of Structural Design and Fabrication Process for ScAlN-Based mmWave BAW Devices,Hagen Bartzsch,"Semiconductor/Display, Next-gen Communication","Information & Communication, ElectricalㆍElectronics, ICT Modules and, Components, Mobile Communication, Modules and Components, Semiconductor Devices, and Systems, Compound, Semiconductor Devices"
Fraunhofer,FH-159,Low-temperature polarity-controlled epitaxy of III-nitrides (AlN and GaN) on 200 mm Si and Sapphire,Valentin Garbe,Semiconductor/Display,"ElectricalㆍElectronics, ElectricalㆍElectronics, Semiconductor, Devices and Systems, Semiconductor, Materials, Semiconductor, Equipment, Deposition Equipment"
Fraunhofer,FH-160,Passive damping technology,Thomas Hutsch,Semiconductor/Display,"Electrical Electronics, MechanicalㆍMaterials, Imaging/Audio Devices, Speakers, Precision Manufacturing, Machinery, Cutting Machine Tools"
Fraunhofer,FH-161,AI-Driven Digital Twin Reliability Platform Integrating Neutron-Based Non-Destructive Testing for Advanced Semiconductor Devices,Zhongquan Liao,Semiconductor/Display,"Electrical and Electronics, Semiconductor Equipment, Measurement/Inspection, Equipment"
Fraunhofer,FH-162,High thermal conductive passive cooling components of composite Material with complex 3D shape,Thomas Hutsch,"Semiconductor/Display, Advanced Mobility, Aerospace/Marine, AI","Energy and Resources, Energy and Resources, Transmission &, Distribution, Systems, Power Electronics, Technologies, Transmission &, Distribution, Systems, New Materials for Power, Systems"
Fraunhofer,FH-163,Advanced multi-scale modeling and characterization for a predictable and experimentally validated assessment of plasticity and fracture in multilayered metallic interconnectors during thermal cycles,Zhongquan Liao,Semiconductor/Display,Electrical and Electronics Mechanical and Materials Semiconductor Devices and Systems Seminconductor Materials Metal Materials Materials Analysis/Evaluation Technologies
Fraunhofer,FH-164,Advanced Coatings for Beyond-Extreme Ultraviolet Lithography (BEUVL),Dr. Sergiy Yulin,Semiconductor/Display,"ElectricalㆍElectronics, ElectricalㆍElectronics, Semiconductor, Equipment, Core Components and, Manufacturing Equipment for, Semiconductor Tools, Optical Application, Devices, Optical Components"
Fraunhofer,FH-165,High-speed laser grooving of semiconductor wafers with sub-µm roughness for advanced semiconductor packaging,Dr. rer.nat. Serhiy Danylyuk,Semiconductor/Display,"Machinery and materials, Electrics & Electronics, Precision manufacturing, machinery, Optical energy-applied, processing machines (Code, No. 100103), Machines, using, optical, technology, Laser beam machines (Code, No. 200102)"
Fraunhofer,FH-166,"Tailored beam shapes for Through Glass Via laser processing with real time, non-destructive inspection and subsequent, in-line repair process",Martin Kratz,Semiconductor/Display,"Mechanical Materials, Electrical Electronics, Precision manufacturing, machinery, Optical Energy–Based, Processing Machines, Optical Application, Devices, Laser Processing, Machines"
Fraunhofer,FH-167,High productive inverse laser micro drilling with ultrashort pulse lasers of transparent materials for TGV production and material processing,Philipp Bremer,Semiconductor/Display,"Machinery-Materials, Electrics & Electronics, Precision manufacturing, machinery, Optical energy-applied, processing machines, Optical Application, Devices, Laser Processing, Machines"
Fraunhofer,FH-168,Efficient and Scalable Production of EUV Photoresist Precursors by AI-Driven Flow Chemistry,Dr. Patrick Löb,"Semiconductor/Display, AI","Electrical & Electronics, Chemicals, Semiconductor Devices, and Systems, Semiconductor Materials, Fine Chemicals, Photosensitive Materials"
Fraunhofer,FH-169,CANflow Continuous Flow synthesis of quantum dot material with high quality for industrial production,Soeren Becker,"Semiconductor/Display, Advanced Robotics & Manufacturing, Quantum","Chemicals, MechanicalㆍMaterials, Fine Chemicals, Nano-Application, Technologies, Nano/Micro Mechanical, Systems, Other Nano/Micro, Mechanical System, Technologies"
Fraunhofer,FH-170,D-Band Wide-Area Imaging Transceiver System Using multi-layer Glass Interposer for Large-Scale Non-Destructive Testing,Jung Han Choi,Semiconductor/Display,"Information & Communication, Electrical · Electronics, Satellite/Radio Wave, Electromagnetic Wave, Devices, Measuring Instruments, Safety Monitoring/Diagnosis, Control Instruments"
Fraunhofer,FH-171,Intelligent Semiconductor Device Solution Flexible Optical Frequency Comb,Jung Han Choi,Semiconductor/Display,"ElectricalㆍElectronics, ElectricalㆍElectronics, Semiconductor, Devices and Systems, Compound Semiconductor, Devices, Optical Application, Devices, Laser-related, Components and, Generation Devices"
Fraunhofer,FH-172,Rapid Flame-Assisted Curing of Printed Redistribution Layers for Advanced Semiconductor Packaging Technologies,Dr. Yohan Kim,Semiconductor/Display,"Electrics & Electronic, Electrics & Electronic, Electrical and Electronic, Components, Other Electrical and, Electronic Components, MechanicalㆍMaterials, System Integration, Technologies"
Fraunhofer,FH-173,External IR(NIR-SWIR) Wavelength-conversion Surface-emitting Film for Interactive Displays,Dr. Manuel Gensler,Semiconductor/Display,"Electrical and electronics, Electrical and electronics, Semiconductor devices and, systems, Sensor element, Display, Display components and, Materials"
Fraunhofer,FH-174,"High-Durability, High-Precision Transfer Stamp for Mass Transfer of Micro-LEDs",Dr. Manuel Gensler,Semiconductor/Display,"Electrics & Electronics, Electrics & Electronics, Display, Display manufacturing, equipments, Semiconductor equipment, Other semiconductor, equipments"
Fraunhofer,FH-175,Development of an Inorganic Black Functional Nanomaterial Platform Technology for Enhancing Optical Performance of Semiconductor and Display Systems,Dr. Jiyong Kim,Semiconductor/Display,"Electrical and electronics, Electrical and electronics, Display, Display Components and, Materials, Semiconductor Devices and, Systems, Semiconductor Materials"
Fraunhofer,FH-176,3D optical transceiver using optical-waveguide embedded glass interposer for AI server communications,Jung Han Choi,"Semiconductor/Display, AI","Information & Communication, Electrical · Electronics, ICT Modules and, Components, Optical Communication, Modules and, Components, Optical Application, Devices, Optical Components"
Steinbeis,SB-001,Scalable Iridium-Free Catalyst-Coated Membrane Electrode Assemblies,Prof. Dr. Frank Allmendinger,Hydrogen,"Chemicals, Energy & Resources, Organic/Inorganic Material & Catalyst, Manufacturing Technologies, Catalyst Application Technologies, New & Renewable Energy, Hydrogen / Fuel Cells"
Steinbeis,SB-002,Edge-based Anomaly Detection and Workpiece Quality Prediction for CNC Turning Using Industrial AI Devices,Prof. Dr.-Ing. Bahman Azarhoushang,"AI, Advanced Robotics & Manufacturing","Mechanical·Materials, Precision, manufacturing, machinery, Robotics/, Automation Machinery, Cutting Machine Tools,, Tools, Numerical Control, (NC) Units,, Measurement/Sensor, Technologies for Automation"
Steinbeis,SB-003,AI-based Expert System and LLM-driven Automatic CNC Program Generation for Grinding Processes,Prof. Dr.-Ing. Bahman Azarhoushang,"AI, Advanced Robotics & Manufacturing","Mechanical·Materials, Precision manufacturing, machinery, Cutting Machine Tools,, Grinding/Polishing Machine, Tools, Numerical Control (NC), Units, CAD/CAM-related, Software"
Steinbeis,SB-004,Intelligent CNC Turning Automation Using AI-Based Process Expertise,Prof. Dr.-Ing. Bahman Azarhoushang,"AI, Advanced Robotics & Manufacturing","Mechanical·Materials, Precision manufacturing, machinery, Cutting Machine Tools,, Numerical Control (NC) Units,, CAD/CAM-related Software"
Steinbeis,SB-005,Advanced Pre-Chamber Ignition Systems for Hydrogen-Fueled Internal Combustion Engines,Rottenkolber,"Advanced Mobility, Hydrogen","Machinery and materials, Energy and Resources, Automobile/Rail Vehicles, Engines and Power, Transmission Systems, New, and, Renewable, Energy, Hydrogen"
Steinbeis,SB-006,Novel Lightweight Solutions for Load Bearing Structures of Rail Vehicles,Prof. Dr. Jens Koenig,Advanced Mobility,"Mechanical and Materials, Automobile / Rail Vehicle  Vehicle Body and light-, weighting Technologies"
Steinbeis,SB-007,Modular Electric Motorcycle Retrofit Platform for Sustainable Urban Mobility,Alexander Mueller,Advanced Mobility,"Mechanical Materials, Mechanical Materials, Automobile / Rail Vehicles Vehicle Body and Lightweight, technologies, Automobile / Rail Vehicles, Electrical and Electronic, Systems"
Steinbeis,SB-008,"Innovative, non-destructive testing and evaluation of joints,  such as thermal connection of battery cells or adhesive bonds1",Prof. Dr. Andreas Griesinger,"Semiconductor/Display, Secondary Battery, Advanced Mobility, Next-gen Nuclear Power, Aerospace/Marine, Hydrogen, Advanced Robotics & Manufacturing","Mechanical and materials, Electrical and Electronics, Batteries, Physical Quantity, Test/Analysis Instruments, Batteries, Manufacturing and, Measurement/Evaluation, equipment"
Steinbeis,SB-009,Protection of miniaturized or flexible electronics in harsh environments,Prof. Dr. Volker Bucher,"Semiconductor/Display, Advanced Mobility, Advanced Bio, Aerospace/Marine, Advanced Robotics & Manufacturing","BioㆍMedical, MechanicalㆍMaterials, Therapeutic Devices, &, Diagnostic Devices, Bio-signal Measurement /, Diagnostic Devices, Nano/Micro, Mechanical, Systems, System Integration, Technologies"
Steinbeis,SB-010,AI-Driven 3D Reconstruction Framework Transforming Low-Cost Consumer Scans into Manufacturing-Ready Models for Mass Customization,Prof. Dr. Georg Umlauf (IOS) &,AI,"Information & Communication, ElectricalㆍElectronics, Software, Software Solutions, Measuring Instruments, Optical Measuring, Instruments"
Steinbeis,SB-011,Resource-Efficient GaN-Based Multi-MHz Power Electronics for Next-Generation Charging and Power Supply Systems,Cello,"Secondary Battery, Advanced Mobility","Electrical ∙ Electronics, Mechanical, Materials, Power Conversion, Equipment, Power Supply Units, Automobile/Rail Vehicle, Electrical and Electronic, Systems"
Steinbeis,SB-012,Real-Time Error Prevention System for Industrial Control Operators,Prof. Dr. Tim Jansen,"AI, Advanced Robotics & Manufacturing","Machinery & Equipment, Information & Communication, Biomedical, Measurement, &, Monitoring Devices, Industrial, Biosignal, Monitoring Systems, Software, Embedded Software"
TNO,TN-01,High-efficient hydrogen internal combustion engine for power generation_Bloem,Jack Bloem,Advanced Mobility,"Mechanical materials, Energy & Resources, Automobile / Rail, Vehicles & Shipbuilding/, Marine Systems, Engines and Power, Transmission Systems, & Hull/Deck and, Propulsion System, Components, New, and, Renewable, Energy, Hydrogen"
TNO,TN-02,Engine Aftertreatment Tech on emission reduction for sustainable fuels_Bloem,Jack Bloem,Advanced Mobility,"Mechanical materials, Energy & Resources, Automobile / Rail, Vehicles, Engines and Power, Transmission Systems, New, and, Renewable, Energy, Bio-fuels"
TNO,TN-03,The application of LLMs for the interpretation of traffic accidents reports_Op den Camp,Dr. ir. Olaf Op den Camp,"Advanced Mobility, AI","Knowledge Services, Mechanical & Materials, R&D /, Engineering Services, Testing / Inspection /, Analysis Techniques, Automobile / Rail, Vehicles, Safety Improvement, Technologies"
TNO,TN-04,Advanced Manufacturing Tech for Next‑Gen Batteries_Ameen,Dr. Mahmoud Ameen,Secondary Battery,"MechanicalㆍMaterials, MechanicalㆍMaterials, Metal Materials, Materials Processing, Technologies, Metal Materials, Energy Materials, Technologies"
TNO,TN-05,Full-stack spin-qubit quantum computer development_Karwal,Saurabh Karwal,"Semiconductor/Display, Quantum","Electrical ㆍElectronics, Information & Communication, Semiconductor Devices, and Systems, Other Semiconductor, Devices, Software, System Integration"
TNO,TN-06,TEER Sensing Functionality in Organ on Chip Applications_van Breemen,Dr. Albert van Breemen,Advanced Bio,"Bio Medical, Bio Medical, Bio-processes /, Bio-Equipment, Bio-electronics / Bio-, Information, Medical Bio, Pharmaceutical Bio-, based Technologies, and Systems"
TNO,TN-07,Sovereign Collaborative Energy Usage Optimization_Mulder,Pim Mulder,"Cybersecurity, AI","Energy & Resources, Knowledge Services, Power IT, Intelligent Power Grid, Platform Technologies, R&D / Engineering, Services, Intellectual Property, Analysis / Management, Technologies"
TNO,TN-08,Accelerating Fast-Tracking Digital Health Solutions across Borders_van Drumpt,Sarah van Drumpt,"Advanced Bio, Cybersecurity, AI","Bio-Medical, Information & Communication, Medical Information, & Systems, Remote and Home Health, care Devices (in combination, with other RWD sources/, Health Information), Information Security, Security Technologies /, Service & Application, Security / Network, System Security"
TNO,TN-09,Knowledge-based AI assistance for automating regulatory compliance_de Boer,Maaike de Boer,AI,"Information & Communication, Knowledge services, Software, Software Solutions, Management strategy /, finance / trade services, HR Management / legal /, accounting services"
TNO,TN-10,Automating regulatory compliance in healthcare using AI_de Boer,Maaike de Boer,"Advanced Bio, AI","Bio - Medical, Information & Communication, Medical Information &, Systems, Other Medical Information &, Systems, Software, Software Solutions"
TNO,TN-11,GPTNL-Creating LLM fully lawful and transparent_Bomhof,Freek Bomhof,AI,"Information & Communication, Knowledge services, Software, Software solutions, R&D, /, Engineering, services, Other, R&D, /, Engineering-related, Technologies"
TNO,TN-12,Predictive Risk Monitoring for Safe and Reliable AI Systems_Ben Aziza,Syrine Ben Aziza,"Cybersecurity, AI","Information / Communication, Knowledge Services, Software, Software solutions, R&D, /, Engineering, services, Other, R&D, /, Engineering-related, Technologies, (TIPA: Korea Technology and Information Promotion Agency for SMEs), (max 10 pages), 2"
TNO,TN-13,Efficient & Scalable AI Deployment through SW Infrastructure & Transfer Learning_Ben Aziza,Syrine Ben Aziza,AI,"AI infrastructure and deployment support, Knowledge Services, Software, Software solutions, R&D, /, Engineering, services, Other, R&D, /, Engineering-related, Technologies"
TNO,TN-14,Onboard Carbon Capture as a decarbonization option for shipping_Linders,Marco Linders,Aerospace/Marine,"MechanicalㆍMaterials, Chemicals, Shipbuilding/ Marine, Systems, Other, Shipbuilding/Marine, System Technologies, Air / Waste, Waste Treatment and, Recycling Technologies"
TNO,TN-15,Advanced instruments and detection methodology for hydrogen leakage_Hoogeland,Martijn Hoogeland,"Aerospace/Marine, Hydrogen, AI","electrical * Electronics, Mechanical * materials, Measuring Instruments, Optical measuring, Instruments, Shipbuilding/, Marine, systems, Other, Shipbuilding/Marine, System Technologies"
TNO,TN-16,Digital Product Passports of Batteries for Added Value and Compliance_Rongen,Sjoerd Rongen,Secondary Battery,"ElectricalㆍElectronics, Knowledge Services, Batteries, Secondary Batteries, Added Value /, After-Sales Service, Product–Service, Maintenance / Operation /, After-Sales Management"
TNO,TN-17,EV Monitoring & Data Sharing Platform for Energy Use & Fleet Diagnostics_van de Water,Oscar van de Water,"Secondary Battery, Advanced Mobility, Cybersecurity","Mechanical Materials, Electrical/electronics, Automobile/Rail, Vehicles, Electrical and, electronics systems, Measuring Instruments, Electronic measuring, instrument"
